id,articleId,status,title,summary,steps,tags,action,note,userId,createdAt
cmopcax600004m27bvodiqvhe,cmopcax2w0002m27besfk97n7,draft,Scan a Parcel,This procedure outlines the fundamental steps required to successfully scan a parcel using the DHL scanner application. It ensures accurate tracking and proper processing of packages within the logistics network. This SOP applies to all operations personnel responsible for parcel handling and scanning.,"[""Open the designated scanner application on your device."",""Point the scanner's laser or camera directly at the parcel's barcode."",""Listen for an audible beep or observe a visual confirmation (e.g., green light) to confirm a successful scan."",""Carefully place the scanned parcel onto the designated conveyor belt for further processing.""]","[""logistics"",""scanning"",""parcel handling"",""operations"",""outbound""]",created,Created from note via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-03T05:38:25.513Z
cmopcc2kg0009m27bgdom1n2s,cmopcc2h50007m27bdgojuj14,draft,Scan Parcel and Place on Conveyor,"This procedure outlines the essential steps for accurately scanning a parcel using a handheld scanner and subsequently placing it onto the conveyor system. It is applicable to all operations personnel responsible for parcel intake or sorting, ensuring proper tracking and efficient flow within the facility.","[""Open the scanner application on your device."",""Aim the scanner at the parcel's barcode, ensuring it is clearly visible."",""Confirm successful scan by verifying the audible beep or visual confirmation on the scanner display."",""Carefully place the scanned parcel onto the designated conveyor belt.""]","[""logistics"",""parcel processing"",""scanning"",""conveyor"",""operations"",""sortation""]",created,Created from note via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-03T05:39:19.168Z
cmopw7lhm000413y47087u6al,cmopw7lgc000213y4guinj0gl,draft,Manually Process Oversized Items When Scanner Displays Error 404-X,"This procedure provides a temporary workaround for DHL drivers encountering 'Error 404-X' and scanner freezing when quick-scanning oversized items at drop-off points. It details steps for manually selecting the item type before scanning, applicable until a system patch is deployed.","[""If your scanner freezes with 'Error 404-X' when attempting to quick-scan an oversized item, do NOT use the quick-scan button."",""Manually select 'Oversized Load' from the dropdown menu within the scanner application."",""After selecting 'Oversized Load', proceed to scan the item's barcode."",""If the scanner still freezes, force close the scanner application."",""Clear the application cache via the Android settings for the scanner app."",""Log back into the scanner application and retry the scan.""]","[""scanner"",""oversized items"",""troubleshooting"",""driver"",""mobile app"",""error 404-X""]",created,Created from chat via web upload,,2026-05-03T14:55:42.730Z
cmopwe9l7000913y42xqa63aw,cmopwe9ha000713y44avwb1c3,draft,Resolving CUST-899 Error: Correcting Missing HS Codes for Shipment Clearance,"This SOP outlines the procedure for resolving the CUST-899 error, which occurs when attempting to clear shipments (e.g., bound for Japan) due to a missing Harmonized System (HS) code on the commercial invoice. Following these steps ensures the shipment is correctly processed, avoiding a system-flagged manual audit and a 48-hour package freeze.","[""Identify shipments displaying 'Error CUST-899' during clearance, typically caused by a missing HS (Harmonized System) code on the sender's commercial invoice."",""Look up the correct HS code for the specific goods in the Global Tariff Database."",""Navigate to the 'Clearance Details' tab in the system and enter the correct HS code."",""Generate a new PDF of the updated commercial invoice, ensuring the newly added HS code is clearly visible."",""Upload the updated commercial invoice PDF to the 'Supporting Documents' section of the shipment record."",""After attaching the updated PDF, click the secondary button labeled 'Request Re-evaluation' (often found in a dropdown) instead of 'Submit Clearance' to prompt system re-evaluation without triggering a manual audit.""]","[""logistics"",""customs clearance"",""troubleshooting"",""HS code"",""error handling"",""documentation""]",created,Created from screenshot via web upload,,2026-05-03T15:00:53.899Z
cmotorame0001x0uwc84htc9t,cmopwe9ha000713y44avwb1c3,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:09.541Z
cmotorbi50003x0uw5tx93nsc,cmopw7lgc000213y4guinj0gl,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:10.686Z
cmotoredj0005x0uwrrmr8fjn,cmopcc2h50007m27bdgojuj14,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:14.407Z
cmotorhlt0007x0uw7ojlslxt,cmopcax2w0002m27besfk97n7,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:18.594Z
cmotos4y7000110x9fu587y06,cmopwe9ha000713y44avwb1c3,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:48.847Z
cmotos5fp000310x9utspsckv,cmopw7lgc000213y4guinj0gl,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:49.477Z
cmototrze000510x9iwcanip2,cmopwe9ha000713y44avwb1c3,published,Resolving CUST-899 Error: Correcting Missing HS Codes for Shipment Clearance,"This SOP outlines the procedure for resolving the CUST-899 error, which occurs when attempting to clear shipments (e.g., bound for Japan) due to a missing Harmonized System (HS) code on the commercial invoice. Following these steps ensures the shipment is correctly processed, avoiding a system-flagged manual audit and a 48-hour package freeze.","[""Identify shipments displaying 'Error CUST-899' during clearance, typically caused by a missing HS (Harmonized System) code on the sender's commercial invoice."",""Look up the correct HS code for the specific goods in the Global Tariff Database."",""Navigate to the 'Clearance Details' tab in the system and enter the correct HS code."",""Generate a new PDF of the updated commercial invoice, ensuring the newly added HS code is clearly visible."",""Upload the updated commercial invoice PDF to the 'Supporting Documents' section of the shipment record."",""After attaching the updated PDF, click the secondary button labeled 'Request Re-evaluation' (often found in a dropdown) instead of 'Submit Clearance' to prompt system re-evaluation without triggering a manual audit.""]","[""logistics"",""customs clearance"",""troubleshooting"",""HS code"",""error handling"",""documentation""]",deleted,Soft-deleted,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:40:05.135Z
cmotourn0000910x9rh83by89,cmotourat000710x99adpwara,draft,Respond to Chemical Spills from Leaking Packages,"This procedure outlines the steps to safely contain and clean up minor chemical spills originating from leaking packages on the sorting line. It applies to all operations personnel encountering such incidents and ensures immediate safety, proper cleanup, and incident reporting.","[""Immediately activate the E-Stop to halt the conveyor belt if the spill is associated with a package on the line."",""Ensure all personnel maintain a safe distance of at least 3 meters (10 feet) from the spill area."",""Locate and retrieve the Yellow Spill Kit from its designated location (e.g., Pillar G)."",""Before handling the spill, don the nitrile gloves and goggles provided within the spill kit."",""Carefully pour absorbent granules directly over the entire spill, ensuring full coverage."",""Allow the absorbent granules to clump and solidify for exactly 5 minutes."",""Once solidified, sweep the absorbed material into the red hazmat bin."",""After the spill is contained and cleaned, contact EHS on speed dial 3 to report the incident.""]","[""chemical spill"",""safety"",""hazmat"",""operations"",""sorting line"",""emergency response"",""spill kit""]",created,Created from chat via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:40:51.565Z
cmowfyvth0001xl8h37k5gzbp,cmotourat000710x99adpwara,draft,Respond to Chemical Spills from Leaking Packages,"This procedure outlines the steps to safely contain and clean up minor chemical spills originating from leaking packages on the sorting line. It applies to all operations personnel encountering such incidents and ensures immediate safety, proper cleanup, and incident reporting.","[""Immediately activate the E-Stop to halt the conveyor belt if the spill is associated with a package on the line."",""Ensure all personnel maintain a safe distance of at least 3 meters (10 feet) from the spill area."",""Locate and retrieve the Yellow Spill Kit from its designated location (e.g., Pillar G)."",""Before handling the spill, don the nitrile gloves and goggles provided within the spill kit."",""Carefully pour absorbent granules directly over the entire spill, ensuring full coverage."",""Allow the absorbent granules to clump and solidify for exactly 5 minutes."",""Once solidified, sweep the absorbed material into the red hazmat bin."",""After the spill is contained and cleaned, contact EHS on speed dial 3 to report the incident.""]","[""chemical spill"",""safety"",""hazmat"",""operations"",""sorting line"",""emergency response"",""spill kit""]",deleted,Soft-deleted,cmopb26zg0000wdnk6gj7h16t,2026-05-08T04:55:25.363Z
cmowfzj2t0003xl8h2g649tfk,cmopcax2w0002m27besfk97n7,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-08T04:55:55.734Z
cmowfzjum0005xl8heqvp6wmz,cmopcc2h50007m27bdgojuj14,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-08T04:55:56.734Z
cmowganj70003n5x6sq2rk8bf,cmowgan6c0001n5x60d8t5avt,draft,How to Resolve Invalid Customer Address Due to Missing Postcode,"This procedure outlines the steps to take when a customer's address is flagged as invalid, specifically due to a missing postcode, preventing booking continuation. It ensures accurate address data and smooth processing of shipments. This applies to all personnel involved in customer booking and data entry.","[""Identify the address validation error, noting the specific indication of a missing postcode for the customer."",""Manually input the correct postcode into the designated address field within the booking system."",""Initiate the address revalidation process to confirm the updated address is now valid."",""Save the validated customer address details."",""Continue with the booking or shipment creation process.""]","[""logistics"",""address validation"",""data entry"",""customer service"",""booking process""]",created,Created from chat via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:04:34.724Z
cmowgcgvg0001m544oulp5w57,cmowgan6c0001n5x60d8t5avt,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:05:59.403Z
cmowgcq1z0005n5x6n8c6a0s9,cmowgan6c0001n5x60d8t5avt,published,,,[],[],status_changed,Status changed to published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:06:11.303Z
cmowgfgif0005m5441t0h0dsr,cmowgfg640003m544xip0e4oi,draft,Manage New Customer Credit Approval and Onboarding Process,"This SOP details the end-to-end process for onboarding new customers and approving credit within DHL Logistics Operations. It outlines how new customers are set up in operational and financial systems, including credit checks and handling approvals or rejections. This procedure applies to Operations, Customer Service, Finance, Credit Control teams, and Management involved in customer onboarding.","[""Initiate New Customer Onboarding Request: Sales Team submits a new customer onboarding request, ensuring all minimum required information (legal company name, registration, addresses, estimated monthly volume, requested credit limit, payment terms) is provided via the approved channel (e.g., email or shared template)."",""Validate Onboarding Request: Operations Team performs an initial validation of the submitted request to ensure all required information and supporting documents are complete. If information is missing, Operations contacts Sales for immediate clarification."",""Perform Credit Evaluation: Finance/Credit Control Team conducts a comprehensive credit evaluation, which includes internal and external credit bureau checks, assessment of requested credit limit, and review of financial documents."",""Determine Credit Approval Decision: Based on the evaluation, Finance/Credit Control approves the customer as a credit customer (with or without conditions like reduced limit or shorter terms) or rejects credit, offering cash-only terms if applicable."",""Set Up Customer in Systems: Upon credit approval, Operations and Finance teams create the customer record in CRM and SAP, assigning appropriate billing and operational roles, and configuring tax and invoicing parameters."",""Confirm Readiness to Stakeholders: Operations confirms readiness for shipment processing to Sales, and Finance monitors initial invoices to ensure correct setup and billing.""]","[""logistics"",""customer onboarding"",""credit approval"",""finance"",""operations"",""sales"",""SOP""]",created,Created from docx via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:08:18.904Z
cmowgfye50007n5x656w6v9vj,cmowgfg640003m544xip0e4oi,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:08:42.078Z
cmowghg070007m54410be6zex,cmopcc2h50007m27bdgojuj14,published,Scan Parcel and Place on Conveyor,"This procedure outlines the essential steps for accurately scanning a parcel using a handheld scanner and subsequently placing it onto the conveyor system. It is applicable to all operations personnel responsible for parcel intake or sorting, ensuring proper tracking and efficient flow within the facility.","[""Open the scanner application on your device."",""Aim the scanner at the parcel's barcode, ensuring it is clearly visible."",""Confirm successful scan by verifying the audible beep or visual confirmation on the scanner display."",""Carefully place the scanned parcel onto the designated conveyor belt.""]","[""logistics"",""parcel processing"",""scanning"",""conveyor"",""operations"",""sortation""]",deleted,Soft-deleted,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:09:51.340Z
cmowghr030009m544q7p87kwn,cmopcax2w0002m27besfk97n7,published,Scan a Parcel,This procedure outlines the fundamental steps required to successfully scan a parcel using the DHL scanner application. It ensures accurate tracking and proper processing of packages within the logistics network. This SOP applies to all operations personnel responsible for parcel handling and scanning.,"[""Open the designated scanner application on your device."",""Point the scanner's laser or camera directly at the parcel's barcode."",""Listen for an audible beep or observe a visual confirmation (e.g., green light) to confirm a successful scan."",""Carefully place the scanned parcel onto the designated conveyor belt for further processing.""]","[""logistics"",""scanning"",""parcel handling"",""operations"",""outbound""]",deleted,Soft-deleted,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:10:05.587Z
cmowgjakb000dm5443er99vwi,cmowgjae5000bm544jihykxzi,draft,Resolve POD Upload Failure due to Large Image File Size,This procedure outlines the steps to troubleshoot and resolve Proof of Delivery (POD) upload failures caused by excessively large image file sizes. It provides guidance on image compression and format optimization to ensure successful uploads. This SOP applies to all personnel responsible for uploading POD images to DHL systems.,"[""Upon encountering a 'File size too large' error during Proof of Delivery (POD) image upload, do not attempt to re-upload the original file."",""Compress the POD image file to reduce its overall size."",""Optimize the image format: convert the image to JPEG format, as it generally offers better compression ratios than PNG for photographic content."",""Upload the newly compressed and optimized image file to the POD system."",""After the upload process is complete, refresh the system screen twice to ensure the POD status is correctly updated and displayed.""]","[""logistics"",""POD"",""upload"",""troubleshooting"",""image optimization"",""delivery"",""system-error""]",created,Created from chat via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:11:17.819Z
cmowgjrxy000fm5445654rltx,cmowgjae5000bm544jihykxzi,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:11:40.342Z
cmowgk916000bn5x6nm3didw1,cmowgk8op0009n5x6274r3zmi,draft,Onboard New Employees: System and Access Setup,"This procedure outlines the essential steps for setting up a new DHL employee's digital environment, including account creation and system access. It ensures new hires have the necessary tools and resources from their start date. This guide is primarily for IT and administrative staff responsible for new employee provisioning.","[""Step 1: Create the new employee's Active Directory (AD) account."",""Step 2: Grant email access to the newly created account."",""Step 3: Assign the necessary SAP and CW1 roles. (Note: Delays often occur if SAP access requests are not approved promptly.)"",""Step 4: Share access to the relevant Standard Operating Procedure (SOP) folder.""]","[""new hire"",""onboarding"",""IT"",""access management"",""account setup"",""HR"",""provisioning""]",created,Created from chat via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:12:02.491Z
cmowgkh4y000hm544w85hkkhy,cmowgk8op0009n5x6274r3zmi,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:12:12.995Z
cmowgl2qd000fn5x6b0ua8e6f,cmowgl2k4000dn5x6wk8mft8g,draft,Troubleshoot Label Printing Issues,"This procedure outlines the steps to resolve common label printing issues, such as labels not printing or appearing blurry. It is primarily used when labels fail to print correctly, often due to printer cache problems, and applies to all DHL personnel involved in label generation and package processing.","[""Restart the printer service."",""Clear the printer queue of any pending print jobs."",""Reprint the label."",""If the label is still blurry or not printing correctly after reprinting, replace the toner cartridge.""]","[""printing"",""labels"",""troubleshooting"",""printer maintenance"",""equipment"",""operations""]",created,Created from chat via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:12:40.982Z
cmowglc4b000hn5x6rrw31hpx,cmowgl2k4000dn5x6wk8mft8g,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:12:53.147Z
cmowgltby000ln5x694ol1kj0,cmowglszw000jn5x6w0gmhury,draft,Resolve AUTH_401 User Authorization Error,"This procedure details the steps to troubleshoot and resolve the AUTH_401 error, which indicates that a user is not authorized to access a specific system module. It is intended for IT support personnel or system administrators responsible for user access management within DHL applications.","[""Verify the user's current Active Directory (AD) group membership."",""Confirm that the user is a member of the 'OPS_FWD_ROLE' AD group. If not, add the user to this required group."",""Instruct the user to log out of the system module and then log back in to refresh their permissions and apply the new access rights.""]","[""IT Support"",""Access Management"",""Troubleshooting"",""Authorization Error"",""User Permissions"",""Active Directory""]",created,Created from chat via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:13:15.455Z
cmowgmb8p000nn5x6dsdzdg77,cmowglszw000jn5x6w0gmhury,draft,Resolve AUTH_401 User Authorization Error,"This procedure details the steps to troubleshoot and resolve the AUTH_401 error, which indicates that a user is not authorized to access a specific system module. It is intended for IT support personnel or system administrators responsible for user access management within DHL applications.","[""Verify the user's current Active Directory (AD) group membership."",""Confirm that the user is a member of the 'OPS_FWD_ROLE' AD group. If not, add the user to this required group."",""Instruct the user to log out of the system module and then log back in to refresh their permissions and apply the new access rights.""]","[""IT Support"",""Access Management"",""Troubleshooting"",""Authorization Error"",""User Permissions"",""Active Directory""]",deleted,Soft-deleted,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:13:38.448Z
cmowheidc00033zugol7kv143,cmowhei1500013zugsm1x9my9,draft,Troubleshooting 'Invalid Routing Code' Error for Stuck Shipments,"This SOP provides a structured approach to resolve a 'shipment stuck' error accompanied by an 'Invalid Routing Code' message in the logistics system. It guides users through initial self-resolution steps, including data verification and system reprocessing, before escalating the issue to IT.","[""Step 1: Identify the shipment experiencing the 'Invalid Routing Code' error and note its details (e.g., shipment ID 784512)."",""Step 2: Verify the country code associated with the problematic shipment. Ensure the country code is correctly set to 'MY' (Malaysia) and not 'SG' (Singapore). Correct the country code if necessary."",""Step 3: Refresh the shipment data within the system for the affected shipment."",""Step 4: Log out of the logistics system."",""Step 5: Log back into the system and attempt to reprocess the shipment."",""Step 6: If the shipment still fails to process with the 'Invalid Routing Code' error after performing the above steps, raise a support ticket with IT, including a screenshot of the error message.""]","[""logistics"",""systems"",""troubleshooting"",""error handling"",""shipment processing"",""invalid routing code""]",created,Created from screenshot via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:35:34.272Z
cmowhff2s00053zugsrnmlga7,cmowhei1500013zugsm1x9my9,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:36:16.661Z
cmowhpz6o00032k98o98ki02m,cmowhpyu400012k98qbimerkq,draft,Correct Invoice Mismatch Due to Duplicate Fuel Surcharge,"This procedure outlines the steps to correct an invoice in SAP where the fuel surcharge has been erroneously applied twice, resulting in an incorrect total. This SOP is to be followed by teams when an invoice mismatch is identified due to a duplicated fuel surcharge. It also includes an important reminder to prevent future occurrences.","[""Open the affected invoice in SAP."",""Identify and remove the duplicated fuel surcharge line from the invoice."",""Recalculate the tax to ensure accuracy after removing the surcharge."",""Save the corrected invoice."",""Resend the updated invoice to the customer via email."",""Remind teams that fuel surcharges should not be manually added to invoices to prevent future duplication issues.""]","[""Invoice"",""SAP"",""Fuel Surcharge"",""Finance"",""Error Correction"",""Billing"",""Customer Service""]",created,Created from email via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:44:29.281Z
cmowhrcnr0001hodd1j93tqz2,cmowhpyu400012k98qbimerkq,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:45:33.399Z
cmowhzkl90003hodde9h5q04w,cmowhei1500013zugsm1x9my9,published,,,[],[],status_changed,Bulk published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:51:56.925Z
cmowhzm300001tkfxugp37985,cmowgl2k4000dn5x6wk8mft8g,published,,,[],[],status_changed,Bulk published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:51:58.860Z
cmowhzm560001vy2cn6d06eqi,cmowgjae5000bm544jihykxzi,published,,,[],[],status_changed,Bulk published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:51:58.938Z
cmowhzm5i0001udardy2pha7l,cmowhpyu400012k98qbimerkq,published,,,[],[],status_changed,Bulk published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:51:58.949Z
cmowhzm5q0001c61srrdc8duw,cmowgfg640003m544xip0e4oi,published,,,[],[],status_changed,Bulk published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:51:58.957Z
cmowhzm5v0001hs90nacc401o,cmowgk8op0009n5x6274r3zmi,published,,,[],[],status_changed,Bulk published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:51:58.962Z
cmowlpkmq000314nyx8b0udgn,cmowlpkao000114nyithewr9p,draft,DHL Freight Booking Pre-requisites Checklist,"This procedure outlines the mandatory information required before a freight booking can be confirmed and accepted by DHL. Adhering to this checklist ensures all necessary details are present, preventing booking rejections due to incomplete data. This is crucial for efficient booking processing.","[""Verify the Customer Purchase Order (PO) is provided and accessible."",""Confirm the Incoterm is correctly specified and aligns with the customer agreement."",""Ensure the pickup date has been confirmed with the customer and is accurately recorded."",""Verify the shipment's weight and dimensions are accurate and complete."",""Reject the booking if any of the mandatory details (Customer PO, Incoterm, Pickup date, Weight & dimensions) are missing or incorrect, and inform the requestor accordingly.""]","[""logistics"",""booking"",""freight"",""checklist"",""pre-requisites"",""rejection-criteria""]",created,Created from screenshot via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:36:08.883Z
cmowlq1ly0001m1t45libv3b2,cmowlpkao000114nyithewr9p,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:36:30.886Z
cmowlqj2x00014g5omzo80nzk,cmowlpkao000114nyithewr9p,draft,,,[],[],status_changed,Sent back to draft for revision,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:36:53.528Z
cmowltbk200054g5o73iapecm,cmowltb0f00034g5oea44xp3e,draft,Resolve Common Shipment Exceptions,"This procedure outlines the initial steps for DHL Logistics Operations agents to handle common shipment exceptions, such as invalid routing, incorrect address, or weight mismatches. It aims to standardize the resolution process, reduce delays, and ensure consistent customer communication by providing clear, actionable steps for troubleshooting before escalation. This guide is applicable to all operations personnel encountering shipment errors.","[""Check the exact error message displayed for the shipment exception."",""Verify customer address details, including postcode, city, and country."",""Confirm shipment weight and dimensions are realistic and match documentation."",""Refresh the booking screen and attempt to re-process the shipment."",""If the issue persists after these checks, capture a screenshot of the error message and escalate to your supervisor or the designated support team with all relevant details.""]","[""logistics"",""shipment exceptions"",""operations"",""troubleshooting"",""error resolution"",""customer data"",""routing"",""weight"",""dimensions"",""POD failures""]",created,Created from docx via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:39:03.512Z
cmowltlqa0003m1t4e2faw26e,cmowltb0f00034g5oea44xp3e,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:39:16.930Z
cmowltsqq00074g5oj0lz4o0h,cmowltb0f00034g5oea44xp3e,published,,,[],[],status_changed,Status changed to published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:39:26.018Z
cmowlxbon00094g5ov899u1pc,cmowlpkao000114nyithewr9p,reviewed,,,[],[],status_changed,Status changed to reviewed,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:42:10.536Z
cmowlxg0p0005m1t45oogyh31,cmowlpkao000114nyithewr9p,reviewed,DHL Freight Booking Pre-requisites Checklist,"This procedure outlines the mandatory information required before a freight booking can be confirmed and accepted by DHL. Adhering to this checklist ensures all necessary details are present, preventing booking rejections due to incomplete data. This is crucial for efficient booking processing.","[""Verify the Customer Purchase Order (PO) is provided and accessible."",""Confirm the Incoterm is correctly specified and aligns with the customer agreement."",""Ensure the pickup date has been confirmed with the customer and is accurately recorded."",""Verify the shipment's weight and dimensions are accurate and complete."",""Reject the booking if any of the mandatory details (Customer PO, Incoterm, Pickup date, Weight & dimensions) are missing or incorrect, and inform the requestor accordingly.""]","[""logistics"",""booking"",""freight"",""checklist"",""pre-requisites"",""rejection-criteria""]",edited,Content edited,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:42:16.153Z
cmowlxio7000b4g5ol081iu8r,cmowlpkao000114nyithewr9p,published,,,[],[],status_changed,Status changed to published,cmopb26zg0000wdnk6gj7h16t,2026-05-08T07:42:19.591Z